tripID,description,feature
540,28.63,Frontal Area of Car:
535,58,Outside Temperature:
535,230,Total Passenger Weight:
535,213,Total Cargo Weight:
535,missing,Tire Pressure:
535,28.63,Frontal Area of Car:
614,46,Outside Temperature:
614,176,Total Passenger Weight:
614,110,Total Cargo Weight:
614,missing,Tire Pressure:
614,28.63,Frontal Area of Car:
615,46,Outside Temperature:
615,176,Total Passenger Weight:
615,132,Total Cargo Weight:
615,missing,Tire Pressure:
615,28.63,Frontal Area of Car:
616,52,Outside Temperature:
616,176,Total Passenger Weight:
616,132,Total Cargo Weight:
616,missing,Tire Pressure:
616,28.63,Frontal Area of Car:
618,50,Outside Temperature:
618,251,Total Passenger Weight:
618,0,Total Cargo Weight:
618,missing,Tire Pressure:
618,28.63,Frontal Area of Car:
380,80,Outside Temperature:
380,180,Total Passenger Weight:
380,0,Total Cargo Weight:
380,missing,Tire Pressure:
380,28.63,Frontal Area of Car:
382,80,Outside Temperature:
382,180,Total Passenger Weight:
382,0,Total Cargo Weight:
382,missing,Tire Pressure:
382,28.63,Frontal Area of Car:
383,80,Outside Temperature:
383,180,Total Passenger Weight:
383,0,Total Cargo Weight:
383,missing,Tire Pressure:
383,28.63,Frontal Area of Car:
553,60,Outside Temperature:
553,227,Total Passenger Weight:
553,40,Total Cargo Weight:
553,missing,Tire Pressure:
553,28.63,Frontal Area of Car:
381,80,Outside Temperature:
381,180,Total Passenger Weight:
381,0,Total Cargo Weight:
381,missing,Tire Pressure:
381,28.63,Frontal Area of Car:
356,80,Outside Temperature:
356,480,Total Passenger Weight:
356,0,Total Cargo Weight:
356,missing,Tire Pressure:
356,28.63,Frontal Area of Car:
551,55,Outside Temperature:
551,227,Total Passenger Weight:
551,40,Total Cargo Weight:
551,missing,Tire Pressure:
551,28.63,Frontal Area of Car:
471,80,Outside Temperature:
471,180,Total Passenger Weight:
471,0,Total Cargo Weight:
471,missing,Tire Pressure:
471,28.63,Frontal Area of Car:
357,80,Outside Temperature:
357,180,Total Passenger Weight:
357,55,Total Cargo Weight:
357,missing,Tire Pressure:
357,28.63,Frontal Area of Car:
473,80,Outside Temperature:
473,180,Total Passenger Weight:
473,0,Total Cargo Weight:
473,missing,Tire Pressure:
473,28.63,Frontal Area of Car:
362,80,Outside Temperature:
362,180,Total Passenger Weight:
362,0,Total Cargo Weight:
362,missing,Tire Pressure:
362,28.63,Frontal Area of Car:
361,80,Outside Temperature:
361,180,Total Passenger Weight:
361,0,Total Cargo Weight:
361,missing,Tire Pressure:
361,28.63,Frontal Area of Car:
415,77,Outside Temperature:
415,270,Total Passenger Weight:
415,50,Total Cargo Weight:
415,missing,Tire Pressure:
415,28.63,Frontal Area of Car:
475,85,Outside Temperature:
475,180,Total Passenger Weight:
475,0,Total Cargo Weight:
475,missing,Tire Pressure:
475,28.63,Frontal Area of Car:
416,58,Outside Temperature:
416,270,Total Passenger Weight:
416,50,Total Cargo Weight:
416,missing,Tire Pressure:
416,28.63,Frontal Area of Car:
552,60,Outside Temperature:
552,227,Total Passenger Weight:
552,40,Total Cargo Weight:
552,missing,Tire Pressure:
552,28.63,Frontal Area of Car:
418,54,Outside Temperature:
418,170,Total Passenger Weight:
418,50,Total Cargo Weight:
418,missing,Tire Pressure:
418,28.63,Frontal Area of Car:
550,55,Outside Temperature:
550,227,Total Passenger Weight:
550,45,Total Cargo Weight:
550,missing,Tire Pressure:
550,28.63,Frontal Area of Car:
359,80,Outside Temperature:
359,180,Total Passenger Weight:
359,15,Total Cargo Weight:
359,missing,Tire Pressure:
359,28.63,Frontal Area of Car:
360,80,Outside Temperature:
360,180,Total Passenger Weight:
360,0,Total Cargo Weight:
360,missing,Tire Pressure:
360,28.63,Frontal Area of Car:
378,80,Outside Temperature:
378,180,Total Passenger Weight:
378,0,Total Cargo Weight:
378,missing,Tire Pressure:
378,28.63,Frontal Area of Car:
196,50,Outside Temperature:
196,150,Total Passenger Weight:
196,0,Total Cargo Weight:
196,40,Tire Pressure:
196,28.63,Frontal Area of Car:
195,50,Outside Temperature:
195,250,Total Passenger Weight:
195,0,Total Cargo Weight:
195,40,Tire Pressure:
195,28.63,Frontal Area of Car:
193,50,Outside Temperature:
193,150,Total Passenger Weight:
193,0,Total Cargo Weight:
193,40,Tire Pressure:
193,28.63,Frontal Area of Car:
194,50,Outside Temperature:
194,200,Total Passenger Weight:
194,0,Total Cargo Weight:
194,40,Tire Pressure:
194,28.63,Frontal Area of Car:
437,60,Outside Temperature:
437,375,Total Passenger Weight:
437,0,Total Cargo Weight:
437,32,Tire Pressure:
437,28.63,Frontal Area of Car:
3,74,Outside Temperature:
3,150,Total Passenger Weight:
3,100,Total Cargo Weight:
3,44,Tire Pressure:
3,28.63,Frontal Area of Car:
2,74,Outside Temperature:
2,150,Total Passenger Weight:
2,100,Total Cargo Weight:
2,44,Tire Pressure:
2,28.63,Frontal Area of Car:
4,74,Outside Temperature:
4,150,Total Passenger Weight:
4,100,Total Cargo Weight:
4,44,Tire Pressure:
4,28.63,Frontal Area of Car:
6,74,Outside Temperature:
6,150,Total Passenger Weight:
6,100,Total Cargo Weight:
6,44,Tire Pressure:
6,28.63,Frontal Area of Car:
13,75,Outside Temperature:
13,250,Total Passenger Weight:
13,0,Total Cargo Weight:
13,40,Tire Pressure:
13,28.63,Frontal Area of Car:
1,74,Outside Temperature:
1,150,Total Passenger Weight:
1,100,Total Cargo Weight:
1,44,Tire Pressure:
1,28.63,Frontal Area of Car:
5,74,Outside Temperature:
5,300,Total Passenger Weight:
5,100,Total Cargo Weight:
5,44,Tire Pressure:
5,28.63,Frontal Area of Car:
7,74,Outside Temperature:
7,150,Total Passenger Weight:
7,100,Total Cargo Weight:
7,44,Tire Pressure:
7,28.63,Frontal Area of Car:
